timestamp,tp9,af7,af8,tp10,hr
1729906381.293,-1000.000,-423.828,-180.176,-808.105,0.000
1729906381.297,-1000.000,-279.785,-354.004,386.230,0.000
1729906381.300,-1000.000,-339.355,-462.891,-1000.000,0.000
1729906381.304,-1000.000,-476.074,-366.211,-575.684,0.000
1729906381.308,-1000.000,-399.414,-186.523,-995.605,0.000
1729906381.312,-1000.000,-237.305,-248.535,849.609,0.000
1729906381.316,-1000.000,-250.977,-402.344,-678.223,0.000
1729906381.320,-1000.000,-392.090,-341.309,-1000.000,0.000
1729906381.324,-1000.000,-414.062,-154.297,302.734,0.000
1729906381.328,-1000.000,-273.438,-200.684,-798.340,0.000
1729906381.332,-1000.000,-256.836,-423.828,-40.527,0.000
1729906381.336,-1000.000,-332.520,-432.617,-1000.000,0.000
1729906381.339,-1000.000,-301.758,-180.176,-220.703,0.000
1729906381.343,-1000.000,-220.215,-105.469,-808.594,0.000
1729906381.347,-1000.000,-122.559,-314.941,231.445,0.000
1729906381.351,-1000.000,-174.316,-406.738,-1000.000,0.000
1729906381.355,-1000.000,-301.758,-222.168,-291.992,0.000
1729906381.359,-1000.000,-230.957,-92.285,-822.754,0.000
1729906381.363,-994.141,-276.367,-354.492,491.699,0.000
1729906381.367,-1000.000,-396.973,-549.316,-1000.000,0.000
1729906381.371,-918.457,-277.832,-366.211,-726.074,0.000
1729906381.375,-746.094,-212.891,-168.457,854.492,0.000
1729906381.379,-751.465,-97.168,-231.934,-998.535,0.000
1729906381.382,-928.711,-51.758,-378.906,-466.309,0.000
1729906381.386,-953.613,-173.340,-300.293,-1000.000,0.000
1729906381.390,-993.652,-275.391,-92.285,145.996,0.000
1729906381.394,-883.301,-180.664,-149.902,-771.973,0.000
1729906381.398,-141.113,27.344,-343.750,128.906,0.000
1729906381.402,-567.871,-95.703,-382.324,-1000.000,0.000
1729906381.406,-1000.000,-230.957,-206.543,-257.324,0.000
1729906381.410,-1000.000,-259.277,-150.879,-803.711,0.000
1729906381.414,-55.176,278.809,-296.875,233.398,0.000
1729906381.418,-78.613,355.957,-368.652,-1000.000,0.000
1729906381.422,-1000.000,-312.500,-293.457,-335.449,0.000
1729906381.425,-1000.000,-486.816,-267.090,-866.211,0.000
1729906381.429,-73.730,330.566,-277.344,677.734,0.000
1729906381.433,259.766,750.000,-200.684,-951.172,0.000
1729906381.437,-1000.000,-115.723,-312.012,-783.691,0.000
1729906381.441,-1000.000,-497.559,-258.301,767.578,0.000
1729906381.445,-123.047,141.602,-215.332,-855.469,0.000
1729906381.449,848.145,-988.281,10.742,-166.504,0.000
1729906381.453,-570.801,114.746,-119.141,-1000.000,0.000
1729906381.457,-1000.000,-957.031,-310.059,99.121,0.000
1729906381.461,-344.727,-393.066,-320.801,-756.348,0.000
1729906381.464,-902.832,996.582,50.293,193.848,0.000
1729906381.468,224.121,452.148,140.137,-1000.000,0.000
1729906381.472,-1000.000,-950.684,-278.809,-274.414,0.000
1729906381.476,-822.266,-1000.000,-398.926,-804.199,0.000
1729906381.480,799.316,420.410,1.465,388.672,0.000
1729906381.484,279.297,579.590,114.746,-1000.000,0.000
1729906381.488,-1000.000,-869.629,-351.562,-466.309,0.000
1729906381.492,-1000.000,-1000.000,-395.996,-931.641,0.000
1729906381.496,18.066,-106.445,-228.516,812.012,0.000
1729906381.500,526.367,845.215,139.160,-734.863,0.000
1729906381.504,-918.945,-492.676,-241.211,-1000.000,0.000
1729906381.507,-1000.000,-1000.000,-508.301,462.891,0.000
1729906381.511,-138.184,-415.039,-403.320,-813.477,0.000
1729906381.515,946.289,-994.629,-90.820,-70.801,0.000
1729906381.519,-408.203,7.812,-177.246,-1000.000,0.000
1729906381.523,-1000.000,-1000.000,-381.836,-168.457,0.000
1729906381.527,-684.570,-975.586,-403.809,-795.898,0.000
1729906381.531,838.867,489.746,-120.117,223.145,0.000
1729906381.535,80.078,300.293,11.719,-1000.000,0.000
1729906381.539,-1000.000,-1000.000,-354.492,-270.020,0.000
1729906381.543,-1000.000,-1000.000,-460.938,-810.059,0.000
1729906381.547,118.164,-18.555,-275.879,380.859,0.000
1729906381.550,299.316,385.254,-129.395,-1000.000,0.000
1729906381.554,-1000.000,-947.266,-424.316,-754.395,0.000
1729906381.558,-1000.000,-1000.000,-382.812,864.258,0.000
1729906381.562,-51.270,-324.707,-330.566,836.914,0.000
1729906381.566,283.691,519.531,-270.996,-694.824,0.000
1729906381.570,-1000.000,-696.777,-387.695,-1000.000,0.000
1729906381.574,-1000.000,-1000.000,-488.281,80.078,0.000
1729906381.578,-615.234,-911.621,-479.980,-812.988,0.000
1729906381.582,77.637,-98.145,-389.648,-60.547,0.000
1729906381.586,-865.234,-448.730,-407.715,-1000.000,0.000
1729906381.589,-1000.000,-1000.000,-312.500,-231.934,0.000
1729906381.593,-990.723,-1000.000,-210.449,-825.684,0.000
1729906381.597,-350.586,-550.781,-331.055,244.141,0.000
1729906381.601,-597.656,-501.465,-441.406,-1000.000,0.000
1729906381.605,-1000.000,-1000.000,-454.102,-513.184,0.000
1729906381.609,-1000.000,-1000.000,-279.297,-907.227,0.000
1729906381.613,-154.297,-567.383,-305.664,420.410,0.000
1729906381.617,-88.867,-363.770,-418.457,-1000.000,0.000
1729906381.621,-1000.000,-827.637,-345.703,-1000.000,0.000
1729906382.195,23.438,-189.453,-299.805,-830.566,0.000
1729906382.199,-767.090,-792.969,467.285,133.301,0.000
1729906382.203,201.660,317.383,179.199,-1000.000,0.000
1729906382.207,-1000.000,-1000.000,-557.129,82.031,0.000
1729906382.210,-268.555,-395.020,-504.883,-734.375,0.000
1729906382.214,-807.617,-873.047,270.020,187.012,0.000
1729906382.218,292.969,590.820,377.930,-1000.000,0.000
1729906382.222,-1000.000,-958.496,-370.117,-275.391,0.000
1729906382.226,-554.199,-865.723,-635.742,-810.547,0.000
1729906382.230,-969.238,657.715,73.730,412.109,0.000
1729906382.234,754.395,-942.871,426.758,-1000.000,0.000
1729906382.238,-879.395,-365.723,-296.875,-620.117,0.000
1729906382.242,-915.527,-1000.000,-722.168,976.562,0.000
1729906382.246,568.359,172.852,-94.238,873.535,0.000
1729906382.250,-797.363,-767.090,569.336,-653.809,0.000
1729906382.253,52.246,190.918,88.867,-1000.000,0.000
1729906382.257,-1000.000,-1000.000,-621.094,275.879,0.000
1729906382.261,0.000,-205.566,-339.844,-793.945,0.000
1729906382.265,-757.812,-793.457,461.426,-18.066,0.000
1729906382.269,205.566,305.664,202.637,-1000.000,0.000
1729906382.273,-1000.000,-1000.000,-593.262,-239.258,0.000
1729906382.277,-395.020,-693.359,-670.410,-818.359,0.000
1729906382.281,-854.980,945.312,103.516,240.723,0.000
1729906382.285,237.305,448.730,268.555,-1000.000,0.000
1729906382.289,-1000.000,-1000.000,-470.215,-424.316,0.000
1729906382.292,-933.105,-1000.000,-742.188,-867.676,0.000
1729906382.296,615.723,160.156,-125.488,422.363,0.000
1729906382.300,794.922,-954.590,392.090,-1000.000,0.000
1729906382.304,-830.566,-372.559,-262.695,-839.844,0.000
1729906382.308,-1000.000,-1000.000,-775.879,698.242,0.000
1729906382.312,166.016,-91.797,-255.859,-987.793,0.000
1729906382.316,-769.531,-799.316,464.844,-492.188,0.000
1729906382.320,152.344,231.934,88.867,-1000.000,0.000
1729906382.324,-1000.000,-1000.000,-699.219,118.164,0.000
1729906382.328,-182.129,-253.906,-423.340,-771.973,0.000
1729906382.332,-774.902,-857.422,456.543,160.645,0.000
1729906382.335,383.789,731.445,423.828,-1000.000,0.000
1729906382.339,-1000.000,-864.258,-361.328,-264.648,0.000
1729906382.343,-270.020,-456.055,-514.648,-800.293,0.000
1729906382.347,-914.551,997.070,333.008,286.133,0.000
1729906382.351,981.445,-900.879,546.387,-1000.000,0.000
1729906382.355,-564.453,-199.219,-195.801,-331.543,0.000
1729906382.359,-647.461,-893.555,-626.953,-865.723,0.000
1729906382.363,916.992,590.332,84.961,705.078,0.000
1729906382.367,-850.586,-786.133,624.512,-891.113,0.000
1729906382.371,22.949,150.879,73.730,-868.164,0.000
